순번,학수번호,교과명,교수성명,점수,소속학과,구분,영역,outline,goal,keyword
52,13487006,인간지능과 인공지능,조영임,82.4,컴퓨터공학과,교양,자연과과학,"인간지능과인공지능의개요에대해학습한다. 이 교과목은 인공지능 관련 전공을 위한 가장 기본적인 교과목으로, 모든 학과의 모든 학생들을 대상으로 인간지능과 인공지능을 이해할 수 있고 자신의 주전공과 연계할 수 있으며 응용이 가능한 과목이 될 것이다. 따라서 개발과정에 학생 및 산업체의 요구를 만영 할 수 있도록 고려하여 강의한다. 이를 위해 본 저자가 세미나, 포럼, 기고문, 인터뷰 등에서 발표된 많은 자료들을 바탕으로 가장 최신의 트랜드와 이슈들을 묶어서 자신의 주전공 교과목으로 응용될 수 있도록 강의한다. 너무 딱딱한 내용 보다는 사례와 그림, 이해하기 쉬운 내용을 바탕으로 강의한다.","인간지능과인공지능의차이점,프로그래밍응용방법,최근자료들을중심으로교육한다. 인공지능에서 한국과 미국의 기술수준을 비교하면, 하드웨어와 소프트웨어는 현재 미국과 EU 등이 주도적으로 추진 중으로 성장기에 있는 반면 한국은 아직 도입기에 있다. 또한, 2013년 기준으로 우리나라의 인공지능 국제연구는 미국에 비해 73%를 차지하고 있으며, 대규모 다차원의 실용화 보다는 단위소자연구가 대부분이다. 본 강좌는 인공지능분야의 전문인력양성을 위한 기본 교육을 충실히 하고자 하는 것이 강의의 목표이다.",
53,5232001,자연과학개론,도용화,96.7,물리학과,교양,자연과과학,"매주 2시간의 이론 수업을 진행한다. 수업은 강의, 발표 및 토론의 형식으로 진행한다. 한 학기 동안 해수와 대기의 운동, 원자와 분자, 유체, 역학, 빛, 전자기학, 열역학, 핵반응 등 자연과학 전반의 내용을 다룬다.","*자연과학에 대한 흥미를 일깨운다. *자연과학 전반에 걸친 식을 습득하고, 다가올 미래 사회에 대해 생각해 본다. *팀원 상호간 배려과 협동심을 키우고, 논리적이고 창의적인 사고력을 키운다.",
54,5232007,자연과학개론,정희태,93.2,물리학과,교양,자연과과학,강의 및 영상 자료를 통하여 과학의 발전 과정과 그 영향을 알아보고 현대 과학의 다양한 면을 이해한다,"고대 및 근대 그리고 현대에 이르기까지 자연과학 발전의 역사를 알아보고, 자연을 이해하고 설명 하려는 우리 인간의 노력과 그 결과들을 살펴봄으로써 자연 현상 및 현대 과학의 다양한 면을 이해하고 자연에 대한 시야를 넒힌다.",
55,13554006,지식의 발견,정한데로,95.4,한국어문학과,교양,자연과과학,"'지식의 발견'은다양한 주제의 TED 강연을 시청하고, 강연에서 새롭게 얻은 다양한 정보들을 학생들이 직접 인터넷 검색 등을 활용하여 관련 지식을 탐색하는 수업입니다. 학생들이 수집한 정보를 함께 공유하고 토론하는 등 학습자 중심으로 수업이 진행됩니다. 다양한 전공의 교수님 세 분이 동시에 수업에 참여하여 학생들과 함께 생각을 공유합니다.","1. 다양한 주제의 TED 강연을 시청하고, 강연자가 전달하는 핵심 사항을 이해할 수 있다. 2. 강연을 통해 얻게 된 다양한 정보들을 토대로, 학생 스스로 심화된 정보를 탐색할 수 있다. 3. 조사한 자료를 바탕으로 동료들과 공유하고 토론하며 사고를 확장할 수 있다.",
56,13554006,지식의 발견,김창수,94.6,미술·디자인학부(디자인),교양,자연과과학,X,X,
57,13554006,지식의 발견,배준호,93.8,물리학과,교양,자연과과학,X,X,
58,13488001,진화와 인간사회,박제권,87,생명과학과,교양,자연과과학,"진화생물학은 생명의 역사와 생물들의 다양성과 특징의 원인을 구명하는 학문으로, 생물들과 관련된 다른 학문 분야와 밀접한 연관을 지니고 있다. 진화이론은 다양한 생물들 속에서 질서를 만들어내고, 생물들을 지구의 나머지 것들과 밀접히 결합시킴으로서 생물계와 그것이 가진 특징의 원동력을 구명하고, 인과관계에 대한 설명을 제공해 준다. 만물의 영장으로 알려진 인간은 현존하는 다양한 진화산물의 하나이다. 인간 사회의 많은 행동들은 인간의 지적인 능력으로 인한 특별함으로 인식되는 반면, 자연적 행동에 근거한다. 진화론은 인간사회의 다양한 행동들을 이해하는데 많은 도움을 준다. 따라서 본 강의에서는 인간을 포함한 다양한 생물 그룹에 대한 진화의 역사를 기술하고, 진화학, 심리학, 자연철학에 대한 다양한 이론을 강의 및 토론을 바탕으로 진행하고자 한다.","생물의 진화에 대한 의미를 파악하게하고, 보편적인 지식들과 다양한 이론을 습득하여 생명에 대한 이해력을 높이는 것을 목적으로 한다.",
59,11335001,창업과 지식재산,이수찬,90.5,자유전공학부,교양,자연과과학,"- 창업에 필요한 기업가 정신을 알고, 창업에 관한 기초적인 내용 과 지식재산권을 습득 및 창업관련 정부지원에 관한 내용 습득. - 신문기사를 소개하고 기사의 내용으로부터 지식재산을 소개 - 다른 지적 활동의 소산물인 상표, 디자인, 저작물이 각각 어떻게 권리화가 되며 그 권리의 성질이 어떠한지를 학습하므로써 지적활동을 통한 권리(=지식재산권)에 대한 전반적인 이해 및 지식 습득을 위한 강의임.'","진정한 창업을 이해하고 창업에 필요한 기본지식을 익힌다. 기본적으로 발명과 특허를 이해하고, 또 다른 인간의 지적 창작물에 대한 권리인 지식재산권(Intellectual property rights) 전반에 걸친 기본 지식 습득과 이해를 목표로 함. 신문기사로 일고 창업과 지식재산권의 깊이를 이해할 수 있다.",
60,11335006,창업과 지식재산,박방주,88.2,전자공학과,교양,자연과과학,"-창업 분야와 지식재산을 각각 공부하며,현장에서 일어나는 사례를 들어 살아있는 지식을 배울 수 있다. -대학 생활 중에도 창업이 가능하도록 실무 지식을 배울 수 있다. -현장 조사를 통해 상권에 대한 이해를 높일 수 있다.'","-삼성이나 애플 ,마이크로소프트와 같은 혁신적인 기업의 탄생은 창업자의 창업에 대한 의지와 이해도가 높아 가능했다.본 과목은 수강생들로 하여금 기업가 정신을 일깨우고,창업 방법,창업을 위한 준비가 무엇인지 등을 숙지하도록 하는데 있다. -한국의 대학생들은 대학 졸업 뒤 '어느 기업에 취직할까?'를 생각하는 사람이 대부분이다.본 고목의 목표는 '어떤 기업을 창업할까?'에 대한 인식을 높이는데도 있다.이에 따라 수강생들이 졸업 뒤 자신의 뜻을 창업을 통해 펼치는 사람이 지금보다는 많아지도록 한다. -특허와 저작권으로 대별되는 지식재산에 대한 지식도 함양하도록 한다.지식재산은 창업 때 필수적으로 필요한 것으로 지식재산을 제대로 관리하지 못하면 창업뿐 아니라 현대 사회에서 자신의 지식재산을 제대로 지키지도, 권리를 확보하지도 못하게 된다.본 강좌는 지식재산 시대를 살아가는 현대인의 필수 지식을 수강생들이 함양하도록 한다.'",
61,13557006,테크놀로지와문화,최회명,92,기계공학과,교양,자연과과학,"기술 분야의 창의성 사례를 살펴보고, 이를 참조하여 학생들이 창의성을 발휘할 수 있게끔 다양한 방법을 제시하는 과목임. 이를 위해 기술분야의 역사속에서 다양한 창의적 인물을 찾아 창의성을 발휘하였던 조건과, 이러한 창의성의 결과가 어떻게 사회를 변화시켰는지를 살펴보고자 함","기술 분야에서의 창의력 및 상상력 사례를 살펴보고, 창의적 문제해결 능력을 훈련하여 실천적인 창의융복합 역량을 배양함",
62,12402006,플랫폼 혁명의 이해,이승훈,90.4,경영학부(글로벌경영학),교양,자연과과학,"플랫폼이라는 단어에 대한 이해와 플랫폼 기업이라 칭해지는 기업들의 사업방식에 대한 이해를 위한 수업임 다양한 플랫폼 사업모델에 대한 이해를 갖게 되고 이를 통해 기존 스타트업 생태계에 대한 이해가 가능해짐 구글, 페이스북, 아마존, 애플, 우버, 알리바바, 텐센트, 디디추싱, 메이투안, 샤홍슈, 핀둬둬, 아이치이, 도우인 등 대표적인 플랫폼 기업에 대한 수업진행, 플랫폼이란 무엇인가와 현재 글로벌 표준을 만들고 있는 플랫폼 기업의 사업에 대한 이해 강의",플랫폼이라는 단어에 대한 명확한 이해 현재 대표적 글로벌 플랫폼 기업에 대한 명확한 이해,
63,5194001,독일문화의 이해,김화경,93.8,가천리버럴아츠칼리지,교양,세계와언어,독일에 대한 전반적인 이해를 목표로 하는 강좌이므로 한가지 주제를 심도있게 다루기보다는 다양한 주제를 포괄적으로 다루며 독일 사회와 문화에 대해서 개관한다.,"유럽의 중앙에 위치한 독일은 지리적 위치뿐 아니라 정치, 경제, 문화 등 여러가지 면에서 중심적 역할을 담당하고 있다. 2차 대전 이후 폐허에서 출발하여 눈부신 경제성장을 이루어냈으며, 오늘날에는 경제강국으로서 유럽연합에서 주도국가의 위치를 공고히 하고 있다. 독일의 <라인강의 기적>은 종종 우리나라의 <한강의 기적>과 비교되며, 분단국가였다는 점도 우리나라와 유사하다. 상호관계라는 측면에서 보았을 때 독일이 우리나라에 끼친 영향에 비해서 우리나라가 독일에 준 영향은 미미하지만, 최근 경제교류와 무역관계가 양적으로 대폭 증가하고 있는 추세이다. <독일의 이해> 강좌에서는 독일의 사회, 정치, 경제, 문화 및 게르만 민족으로부터 시작되는 독일 민족의 역사에 대해서 고찰하면서, 우리나라의 정치, 경제, 문화, 역사와 상호 비교해 유사점과 차이점, 장점과 단점을 살펴보는 것을 목표로 한다.",
64,5194008,독일문화의 이해,황윤영,86.7,유럽어문학과,교양,세계와언어,"독일의 통일과 유럽연합의 성립으로 유럽의 중심 국가로 자리잡고 있는 독일의 사회와 경제, 문화를 배우는 데 중점을 둔다.","독일 정신이 만들어진 역사적인 배경과 발전을 바탕으로 오늘날 독일의 경제, 사회, 문화, 생활상을 접합으로써 독일 뿐 아니라 유럽과 전 세계를 폭넓고 다양하게 바라볼 수 있는 비판적인 시각 능력을 기를 수 있고, 더 나아가 새로운 국제감각을 키울 수 있는 기본적 소양을 갖출 수 있도록 한다. 아울러 미래 한국의 패러다임을 찾는 것으로 이어지길 목표로 한다.",
65,5304001,독일어1,김성곤,94.1,유럽어문학과,교양,세계와언어,독일어의 기초적인 문법과 어휘를 공부하면서 간단한 독일어 문장을 읽고 이해할 수 있는 정도의 수준과 범위로 제한한다,독일어를 읽을 줄 안다. 독일어의 기초적인 문법과 어휘를 이해하고 간단하고 평이한 독일어 이해할 수 있다.,
66,5304005,독일어1,정동규,94.8,유럽어문학과,교양,세계와언어,"1) 처음 독일어를 배우는 학생들을 위해 A, B,C ... 발음부터 기본문법과 어휘, 문장독해,회화 능력 순서로 강의하고, 2) 교재와 시청각 자료를 통해 독일의 일상생활 및 사회, 교육, 경제, 정치, 종교 등 구체적으로 소개하며, 3) 독일을 포함한 유럽 전반의 정신 및 문화 구조를 이해할 수 있도록 하는 데 중점을 둔다. - 특히 본강의를 통해 학생들은 오늘날 영어가 독어와 문법적으로 얼마나 동일하며, 어떻게 독어를 통해 영어에 대한 보다 깊이있는 이해에 도달할 수 있는지를 확인하는 기회가 될 것이다.","- 이 강의는 독어에 대한 기초 지식을 학습하며, 아울러 독어를 통해 독일뿐 아니라 유럽의 정신,문화를 이해할 수 있는 능력을 배양하는 데 주 목표를 둔다. - 언어적 목표는 발음능력과 해득력에 기초한 ""제2 외국어"" 능력 습득에 있다. 다시 말해서 학생들은 본강의를 통해 영어 이외의 외국어능력을 습득하는 기회를 갖는다.'",
67,5304008,독일어1,국지연,83,유럽어문학과,교양,세계와언어,"1) 처음 독일어를 배우는 학생들을 위해 기본문법과 어휘, 독해,회화 능력을 강의하고, 2) 교재와 시청각 자료를 통해 독일의 일상생활 및 문화, 사회, 경제, 정치, 교육 등을 소개하며, 3) 독일을 포함한 유럽 전반의 정신 및 문화 구조를 이해할 수 있도록 하는 데 중점을 둔다. - 독일어는 영어를 포함한 네덜란드어, 덴마크어, 노르웨이어, 스웨덴어 등 모든 게르만어의 모어로서 영어를 배운 사람들이 가장 쉽게 배울 수 있는 언어이다.","1) 이 강의는 독어에 대한 기초 지식을 학습하며, 아울러 독일뿐 아니라 유럽의 정신,문화를 이해할 수 있는 능력을 배양하는 데 목표를 둔다. 2) 언어적 목표는 발음능력과 해득력에서 ""중급""에 해당하는 외국어 능력 습득에 있다. - 특히 강의를 통해 영어가 독어와 문법적으로 동일하다는 것을 확인하고, 영어에 대한 보다 깊이있는 이해에 도달할 수 있는기회가 될 것이다.",
68,5619001,스페인어1,Sara Oh,96.5,가천리버럴아츠칼리지,교양,세계와언어,"학생들은 스페인어의 기초를 배웁니다. 스페인어에 대한 사전 지식이 필요하지는 않지만, 영어와 한국어를 사용하여 수업이 진행된다. 주로 발음에 중점을 둔다.",글로벌 관점에서 스페인어에 대한 기본적인 이해를 얻으세요.,
69,9358005,아랍어1,안승훈,95.6,아시아문화연구소,교양,세계와언어,아랍어의소개 및 아랍어를 통한 아랍 문화 배우기,아랍어 기초 능력 배양 및 기본 언어 능력 습득,
70,9374001,일본대중문화의 이해,김태경,85.4,가천리버럴아츠칼리지,교양,세계와언어,"현대일본의 대중문화는 어떠한 과정을 거쳐 현재에 이르렀는가. 무엇이 일본대중문화를 흥미롭고 매력적인 것으로 만들고 있는가. 본 수업에서는 현대 일본사회를 특징짓는 신문, 방송, 버라이어티, 애니메이션 등의 대중문화 각 분야에 대해 개괄적으로 고찰하고 분석한다.",1. 일본 대중문화의 배경과 흐름을 이해할 수 있도록 한다. 2. 일본의 대중문화 각 분야에 대한 기초적이고 체계적인 이해가 가능하도록 한다. 3. 현대 일본사회를 이해하고 미래를 전망할 수 있도록 한다.,
71,5310001,일본어1,유창석,94.9,가천리버럴아츠칼리지,교양,세계와언어,"본 강의는 일본어를 처음 배우는 학생을 대상으로 일본어 문자부터 발음,기초 문법,기본 문형 어휘등을 학습한다. 초급 회화 지문을 통한 학습으로 회화체 느낌을 살려서 학습한다.",학생 스스로 일본어 문장을 읽고 쓸 수 있도록 한다. 반복된 연습과 발표로 일본어를 자연스럽게 습득할 수 있도록 한다.,
72,5310008,일본어1,정부용,94.7,가천리버럴아츠칼리지,교양,세계와언어,"일본어 초보자를 대상으로 하는 기초일본어 과정이다. 일본어의 문자, 발음, 기초적인 문법과 어휘, 기본문형을 익히도록 한다.",능숙한 일본어를 구사하고 독해하기 위한 기초 다지기를 목표로 한다. 일본어의 독해와 청취 능력을 향상시키고 일상적인 간단한 회화를 자연스럽게 구사할 수 있도록 한다. 가능한 시청각 기자재를 활용하여 일본어 청취능력을 향상시키고 일본어에 흥미를 갖도록 한다.,
73,5310010,일본어1,김태경,85.3,가천리버럴아츠칼리지,교양,세계와언어,본 수업은 일본어를 처음 접하는 학습자를 대상으로 한다. 문자 및 발음부터 시작하여 일본어의 기초 어휘와 문형을 익힌다.,1. 일본어를 듣고 이해하는 데에 필요한 기본 단어와 표현을 익히도록 한다. 2. 명사를 중심으로 한 일본어 문형을 익히고 활용할 수 있도록 한다. 3. 일본어와 친숙해지고 일본어로 간단한 일상회화를 할 수 있도록 한다.,
74,5202001,중국문화의이해,이희영,89.7,동양어문학과,교양,세계와언어,중국문화가 지니는 유구한 역사와 변화 발전하고 있는 중국 사회의 각 분야에 대한 중국문화의 본질을 포괄적으로 학습함으로써 중국인들의 의식구조와 문화를 전반적으로 이해할 수 있다. 또한 이를 바탕으로 중국인들의 다양한 문화 형성 배경과 흐름을 이해할 수 있다.,1. 중국문화의 다양한 분야를 학습함으로써 중국 사회와 중국인에 대한 이해도를 높인다. 2. 중국의 문화 현상에 대한 다양한 관심과 실제적인 적응 능력을 배양한다. 3. 중국 사회 전반에 대한 이해의 폭을 확대하여 그 이면에 담긴 문화적 요소들을 자신만의 시각으로 분석하는 능력을 배양한다.,
75,5202005,중국문화의이해,박연정,94.4,동양어문학과,교양,세계와언어,"본 교과목은 중국의 전반적인 지리환경, 음식과 생활문화, 현대사 등을 통해 중국의 문화, 정치, 경제 등을 살펴봄으로써 중국에 대한 기본적인 지식을 습득할 수 있다.","중국에 대한 전반적인 기초상식을 습득하고, 다양한 방면의 중국 문화를 접해봄으로써 중국과 중국인, 그리고 중국 사회 전반을 이해할 수 있다.",
76,5202007,중국문화의이해,김보영,94,동양어문학과,교양,세계와언어,현재 우리는 전면적인 교류관계에 있다. 정치 경제와 아울러 문화영역에서도 나날이 정도가 심화되고 있는 것이다. 이에 본 교과목에서는 중국문화의 제 형태에 대해 체계적이고 실체적인 접근을 시도하여 학생들로 하여금 중국문화의 실상을 이해하도록 한다.,본 교과목을 통해 중국문화 전반에 관한 관심과 심도 있는 이해를 제고시키는 것을 목표로 한다.,
77,5308001,중국어1,김금남,94.9,동양어문학과,교양,세계와언어,"1. 본 강좌는 중국어를 처음 배우는 학생을 대상으로 한다. 2. 중국어 발음학습을 통해 중국어를 정확히 읽는 연습을 한다. 3. 간단한 중국어 문형을 익힌 후, 이를 이용하여 자유롭게 대화하는 연습을 한다.",1. 정확한 중국어 발음을 익히고 2. 간단한 중국어 문형을 익혀 3. 다음 단계 중국어 학습의 기반을 단단히 다지고 4. 실생활에서 간단히 활용할 수 있는 중국어 실력을 가지는 것을 목표로 한다.,
78,5308005,중국어1,전걸,93.6,동양어문학과,교양,세계와언어,본 교과목은 중국어의 발음 및 기초 회화를 학습자들이 일상 중국어 회화내용을 통해 기분어휘 배우고 반복적인 문형 연습통해 중국어 기초회화와 듣기 능력양성하고 기본적인 의사소통을 할 수 있도록 한다.,1. 정확한 중국어발음 2. 일상회화에 의사수통 할 수 있게 듣기와 말하기능력 향상 3. 중국어 기초문법 습득 4. 관련된 중국문화 이해,
79,5308007,중국어1,정지인,97.9,동양어문학과,교양,세계와언어,"중국어를 처음 접하는 학생들이 기초적인 발음과 성조를 익히고 이를 토대로 읽기, 쓰기, 듣기, 말하기 등을 통해 기본 회화를 익히며 아울러 기본 문법을 익혀 중국어의 문장 구조를 이해한다.","1. 발음과 성조를 익혀 중국어 학습의 기본 토대를 마련한다. 2. 기본적이고 실용적인 회화를 익혀 중국인과 간단한 대화를 할 수 있도록 한다. 3. 문법과 연습문제의 반복적인 학습을 통해 응용력을 키운다. 4. 읽기, 쓰기, 듣기, 말하기 등의 방법을 통해 중국어의 기초 실력을 다진다.",
80,5308010,중국어1,김보영,98,동양어문학과,교양,세계와언어,"중국어를 전공으로 하지 않는 학습자들을 주대상으로 하는 중국어 기초단계 교과목이다. 본 중국어회화 기초과정이기 때문에 읽기,쓰기,듣기와 말하기를 고루 학습하고, 그것을 활용해볼 수 있도록 하여 중국어 실용화에 대한 학습자의 자신감을 고무할 수 있다.",중국어 기초과정 단계의 교과목이다. 본 교과목은 중국어를 전공으로 하지 않는 학습자들을 주대상으로 하는 중국어 기초과정이기 때문에 가장 기본적인 발음과 간단한 문장을 통하여 중국어의 기초를 배양하여 이후 중국어학습의 바탕과 중국어에 대한 관심을 마련해주는 것을 그 목표로 한다. 한 학기의 수업과 연습을 통해 발음을 안정되게 구사하고 중국어를 익숙하게 읽고 쓸 수 있도록 하는데 주력한다.,
81,5195001,프랑스문화의이해,백경선,94.9,가천리버럴아츠칼리지,교양,세계와언어,- 본 강의는 플립러닝(7주 작용) 강의이다 -본 강의를 통해 프랑스 문화 전반에 관한 기본 지식을 폭넓게 습득한다. -프랑스 문화와 사회에 관심을 갖게 되고 앞으로 프랑스어를 체계적으로 공부할 동기가 부여되도록 한다. -프랑스문화와 한국 문화와의 비교를 통해 한국적인 특성을 발견한다',"- 교양 교육을 통해 자신의 전공에서 전문성을 갖춘 창의적 인재로 성장하기 위해 강의에서 배운 지식을 지속적으로 활용할 수 있게끔 이끈다. - 본 강의는 본교의 교육목표인 다음과 같은 가천핵심역량을 목표로 한다 : 1)발표와 토론을 통해 학생들 간에 협력하고 리더십을 발휘하여 조직에 대한 이해를 키우는 협업봉사 역량, 2)학생들의 프랑스문화 주제발표를 통해 목표를 세우고 자기주도적 학습역량을 키우며 시민의식을 고취시키는 비전도전 역량, 3) 적극적인 경청과 효과적인 의사소통 전달 및 발표능력을 키우는 의사소통 역량, 4) 프랑스 문화의 학습을 통해 정보와 자료 해석능력을 키우는 정보문해 능력, 5)강의의 내용에 대한 질문과 토론을 하면서 문제해결을 통해 창의적, 비판적, 논리적 사고능력을 키우는 문제해결 역량, 6)프랑스 문화에 대한 지식을 통해 외국어와 다문화 수용 및 이해 능력을 키우는 세계시민역량을 키울 수 있다'",
82,5195009,프랑스문화의이해,김민채,97.8,유럽어문학과,교양,세계와언어,"다양한 시청각 자료(영화, 뉴스, 다큐멘터리, 에세이, 소설 등)를 통해 프랑스 문화에 대한 이해의 폭을 넓히는 강의입니다.",선입견에서 벗어나 문화상대주의적 관점에서 프랑스 문화를 올바르게 이해하게 됩니다. 세계 시민으로서 다양한 문화를 존중하는 태도를 배웁니다. 다른 문화에 대한 이해를 통해 우리나라의 문화에 대해 다시 생각해 볼 수 있는 기회를 제공합니다.,
83,5306005,프랑스어1,김민채,97.5,유럽어문학과,교양,세계와언어,"프랑스어를 처음 배우는 학생을 대상으로 합니다. 알파벳을 읽는 방법부터 초급 수준의 회화, 어휘, 문법, 문화를 차근차근 다룹니다.",프랑스어에 대해 이해하고 간단한 의사 소통이 가능한 수준까지 실력을 향상시키는 것이 본 강의의 목표입니다.,
84,5306008,프랑스어1,김정아,96.2,유럽어문학과,교양,세계와언어,처음 프랑스어를 접하는 학생들이 프랑스어와 프랑스문화에 대해 흥미를 갖도록 함.,프랑스어와 프랑스문장에 대해 친숙함과 재미를 느끼도록 함.,
85,5306001,프랑스어1,길해옥,90.8,유럽어문학과,교양,세계와언어,프랑스어에 대한 관심과 프랑스어를 배우고자 하는 의욕 만 있으면 된다. 본 교과목은 실생활에서 곧바로 활용될 수 있는 구문과 기본적인 문법 및 연습문제를 제시하고 있다. 이는 제2외국어의 특성상 가장 기초적인 단계로 비교적 짧은 시간에 실용적인 프랑스어를 학습하기 위한 것이다. 다양한 상황 속에서 손쉽게 사용되는 짧고 쉬운 대화들을 통해 프랑스어를 익히며 아울러 프랑스 문화를 배워가면서 각자의 꿈을 실현시키기를 바란다.,"프랑스어를 처음 접하는 학생들에게 대학 교양과정에서 필요한 프랑스어의 기본적인 문법, 일상적인 표현 및 실용적인 회화를 중심으로 실생활에서 사용하는 표현을 학습하며 나아가 프랑스어의 다양한 문화들을 배워 각 개인 의 관심 분야를 폭넓게 아우를 수 있는 확산적 사고를 가는케 하는 것을 목표로 한다. 이를 위해 단순하게 문법만을 배우는 수업이 아니라 간단한 회화 능력도 향상시키기 위한 목적으로 다양한 학습방법이 동원될 것이다.",
86,11346001,한국의 역사와 문화유산,안윤아,93.4,한국학전공,교양,세계와언어,"한국의 역사와 전통 문화를 이해함과 더불어 향토 문화사를 이해할 수 있다. 이 교과는 이론적 지식을 배경으로 문화유산과 역사현장에 대한 체험 학습의 기회를 제공하여, 오늘날 우리에게 주는 역사적 의미를 생각함과 동시에 여가생활도 알차게 누리면서 나와 상대의 문화를 이해하는 문화시민으로의 힘을 키우는 기초를 마련하게 한다.","1. 한국의 문화유산을 제대로 이해할 수 있는 기초를 마련한다. 2. 우리의 문화 유산을 접하면서 그것의 보존과 유지, 활용의 방안까지도 고민해 볼 수 있도록 한다. 3. 여가생활을 알차게 누림으로써 생활의 활력을 찾고, 문화시민으로서의 역량을 키울 수 있도록 한다. 4. 더 나아가 중국, 일본과 같은 우리 이웃의 문화유산에 대해서도 안목을 가질 수 있는 기회를 갖고, 이로써 더불어 사는 동아시아 공동체의 구심점의 기능을 수행할 수 있게 한다.",
87,8369002,경영학원론,김인성,98,의료경영학과,교양,인문사회과학,사회과학및 경영학 관련 학문을 전공하는 학생들에게 필요한 경영학의 기본 개념을 이해,"- 경영학의 개념과 역사 - 위험을 감수하며 수익을 창출하는 활동으로서의 경영 이해 - 생존과 성장 그리고 사회적 책임의 주체로서의 기업에 대한 이해 - 조직론, 인적물적 자원관리, 리더십과 동기부여, 마케팅 등 사회과학으로서의 경영학 이해 - 기업경영에 요구되는 기초 경제이론 - 기업의 내외부 환경분석과 전략체계 수립, 경영평가 - 글로벌 환경 변화와 현대 경영의 흐름 학습'",
88,8369001,경영학원론,한관순,86.6,산업경영공학과,교양,인문사회과학,"산업공학을 배우는데 가장 기본이 되는 교과로서 현대 기업조직의 성공을 위해 필요한 지식과 아이디어를 원론적으로 학습하는 데 목적을 둔다. 기업경영의 기초 원리를 배우는 본 교과의 학습방법으로는 과제중심적 접근법, 관리과정적 접근법, 기업 기능적 접근법 등이 있으나 이 과목에서는 가장 포괄적이고 체계적인 시스템론적 접근법을 택하여 학습한다. 본 교과의 주요내용은 경영학일반론, 경영주체와 거시경영, 경영전략론, 경영조직론, 기능관리론, 사람관리론, 비전경영론으로 구성되어 있으며, 서구의 일반적인 경영현상과 한국의 특수한 상황을 비교하여 학생들 스스로 탐구하고 학습하며 설명이 가능하도록 하는데 있다.","일(업무)을 잘하기 위한 학문으로서 산업혁명 이후 기업이 생성ㆍ발달하면서 사람을 통해 물품을 생산ㆍ판매하고 필요한 자본을 조달하고 운영하는 등 여러 세부분야별로 필요한 부분해법들이 모여 경영학이 탄생되었다. 경영에 대한 마인드는 가정을 경영하는 주부에서부터 기업의 사장에서 종업원, 공무원, 대통령에 이르기까지 모두에게 필수적인 주제이다. 본 교과는 현대 기업조직의 성공을 위해 필요한 지식과 아이디어를 원론적으로 학습하는 데 목적을 둔다. 기업경영의 원리를 배우는 본 교과의 주요 내용은 경영의 실천적 내용으로 계획과 통제, 개인행동의 관리, 의사결정과 위험관리, 의사소통, 조직을 효과적으로 만들기, 리더십과 동기부여, 나아가 윤리경영, 지속가능경영, 창의성과 혁신 및 기술사업화를 다루며, 세부기능별로 생산운영관리, 마케팅, 재무 및 MIS관리, 인사관리, 회계 등의 기초 원리를 학습하여 조직의 환경변화에 능동적으로 대처할 수 있는 문제해결능력과 합리적 의사결정능력을 함양하는데 본 교과의 학습 목표를 둔다.",
89,12704001,경영학입문,김영기,81.5,경영학부(경영학),교양,인문사회과학,경영학 전반에 대한 이해제고,X,
90,12704002,경영학입문,조성준,96.1,경영학부(글로벌경영학),교양,인문사회과학,"본 강좌는 경영학과(글로벌경영학) 1학년 학생들을 대상으로 기업과 경영에 대한 기본적인 개념과 지식을 습득하게 하고, 경영환경및경영 관련 이슈와 경영현상에 대한 이해도를 높임으로서 앞으로 본격적인 전공과목을 수강하는데 도움을 주기 위한 강좌임","기업, 경영자, 경영행위의 본질에 대한 이해 경영학의 발전과정 및 주요 이론에 대한 이해 변화하는 기업환경에 대한 이해 경영의사결정과정을 이해하고 전략적이고 합리적인 의사결정을 위한 능력의 배양 경영의 주요기능에 대한 이해 미래의 경영자로서 갖추어야 할 비즈니스 마인드와 통찰, 윤리적 품성의 배양 독서와 발표 능력의 배양",
91,12704010,경영학입문,고은정,96.8,경영학부(경영학),교양,인문사회과학,"본 과목은 경영학의 기본적인 이해를 돕고자 하는 과목으로, 본 과목에서는 경영학의 핵심 개념 및 연관 핵심 활동을 소개하며 관련 이슈를 분석한다.",본 과목은 학부생들에게 경영학에 대한 기초적인 소양을 함양하는 것을 목표로 한다,
92,12704005,경영학입문,한주희,96.8,경영학부(글로벌경영학),교양,인문사회과학,"본 강좌는 경영학과(글로벌경영학) 1학년 학생들을 대상으로 기업과 경영에 대한 기본적인 개념과 지식을 습득하게 하고, 경영환경 및 경영관련 이슈와 경영현상에 대한 이해도를 높임으로써 향후 본격적인 전공과목을 수강하는데 도움을 주기 위한 강좌입니다.","기업,경영자,경영행위의본질에대한이해 경영학의발전과정및주요이론에대한이해 변화하는기업환경에대한이해 경영 의사결정과정을이해하고전략적이고합리적인의사결정을위한능력의배양 경영의주요기능에대한이해 미래의경영자로서갖추어야할고객 중심의 비즈니스마인드와통찰,리더십과 윤리적품성의배양 토론과발표능력의함양",
93,12704011,경영학입문,김동선,94.2,경영학부(경영학),교양,인문사회과학,경영학의 개념과 발전과정을 이해하여 21세기 글로벌 시대에 맞는 경영지식을 습득토록 지도한다,"경영학의 마인드에 대한 이해와 기업의 성장과 발전과정,기업의 사회적 책임 그리고 경영의 관리과정의 계확화-조직화-지휘화 -통제화 주요개념을 이해하도록 지도 강의 한다",
