순번,학수번호,교과명,교수성명,점수,소속학과,구분,Unnamed: 7,outline,goal,keyword
45,12948002,졸업작품Ⅲ,황효석,93.8,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
46,12948003,졸업작품Ⅲ,강상우,96.0,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
47,12948003,졸업작품Ⅲ,한명묵,91.8,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
48,12948003,졸업작품Ⅲ,최재영,94.0,AI·소프트웨어학부(인공지능전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
49,12948004,졸업작품Ⅲ,이주형,95.6,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀 프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
50,12948004,졸업작품Ⅲ,최재혁,94.0,AI·소프트웨어학부(소프트웨어전공),전공,,'- 3학기 간에 걸쳐 졸업작품이 진행됨 - 3~4명으로 팀을 구성하고 지도교수님이 선정되어 팀 프로젝트로 수업이 진행됨',"3학기에 걸친 대규모 프로젝트 수행을 통하여 다음과 같은 목표를 달성한다: - 소프트웨어의 설계, 개발, 테스트, 문서화등의 전반적인 작업에 대한 경험 습득 - 심화 기술에 대한 지식 습득 - 팀 프로젝트 경험 습득'","프로젝트, 3/습득, 3/학기, 2/진행, 2/경험, 2/"
51,11672002,컴퓨터프로그래밍,정용주,98.2,AI·소프트웨어학부(소프트웨어전공),전공,,이 코스는 C 프로그래밍의 기본 기술과 간단한 문제 해결 방법을 배우는 것입니다. 모든 주제는 이론 강의 한 번과 실습 세션 한 번으로 다룹니다.,이 과정에서는 C언어의 기본 개념인 C언어와 그 응용을 통한 문제 해결 방법인 전형적인 C프로그램 개발 환경의 요소인 컴퓨터의 기본 개념을 배우게 됩니다.,"기본, 3/문제 해결, 2/방법, 2/언어, 2/개념, 2/"
52,11672003,컴퓨터프로그래밍,강상우,94.0,AI·소프트웨어학부(소프트웨어전공),전공,,이 코스는 C 프로그래밍의 기본 기술과 간단한 문제 해결 방법을 배우는 것입니다. 모든 주제는 이론 강의 한 번과 실습 세션 한 번으로 다룹니다.,이 과정에서는 C언어의 기본 개념인 C언어와 그 응용을 통한 문제 해결 방법인 전형적인 C프로그램 개발 환경의 요소인 컴퓨터의 기본 개념을 배우게 됩니다.,"기본, 3/문제 해결, 2/방법, 2/언어, 2/개념, 2/"
53,11672004,컴퓨터프로그래밍,한명묵,79.8,AI·소프트웨어학부(소프트웨어전공),전공,,이 코스는 C 프로그래밍의 기본 기술과 간단한 문제 해결 방법을 배우는 것입니다. 모든 주제는 이론 강의 한 번과 실습 세션 한 번으로 다룹니다.,이 과정에서는 C언어의 기본 개념인 C언어와 그 응용을 통한 문제 해결 방법인 전형적인 C프로그램 개발 환경의 요소인 컴퓨터의 기본 개념을 배우게 됩니다.,"기본, 3/문제 해결, 2/방법, 2/언어, 2/개념, 2/"
54,13176001,클라우드컴퓨팅시스템,이주형,95.6,AI·소프트웨어학부(소프트웨어전공),전공,,"이 과정에서는 클라우드 컴퓨팅의 기본에 대해 설명합니다. 클라우드 컴퓨팅 개요, 분산 시스템, 네트워킹 시스템 등","컴퓨터 네트워킹 및 분산 시스템의 고급 개념 학습, 클라우드 컴퓨팅 시스템의 개념을 학습합니다.","시스템, 4/클라우드 컴퓨팅, 3/분산, 2/네트, 2/워킹, 2/개념, 2/학습, 2/"
55,10380001,확률통계,최재영,93.8,AI·소프트웨어학부(인공지능전공),전공,,수업 특성: - 수학 증명 포함 - 퀴즈와 숙제,이 코스의 주요 목표는 다음과 같습니다. - 확률론의 기초 학습 - 엔지니어와 과학자를 위한 다양한 통계 문제 식별 - 확률과 통계를 적용하여 기계 학습 문제를 해결하는 방법 학습 - 다양한 추론 통계 방법 이해,"학습, 3/통계, 3/문제, 2/방법, 2/"
56,10380003,확률통계,조정찬,94.0,AI·소프트웨어학부(소프트웨어전공),전공,,수업 특성: - 수학 증명 포함 - 퀴즈와 숙제,이 코스의 주요 목표는 다음과 같습니다. - 확률론의 기초 학습 - 엔지니어와 과학자를 위한 다양한 통계 문제 식별 - 확률과 통계를 적용하여 기계 학습 문제를 해결하는 방법 학습 - 다양한 추론 통계 방법 이해,"학습, 3/통계, 3/문제, 2/방법, 2/"
57,6440001,자료구조및실습,한명묵,85.5,AI·소프트웨어학부(소프트웨어전공),전공,,"이 과정에서는 기본 데이터 구조와 데이터 구조에 대한 알고리즘에 대해 설명합니다. 데이터 구조에는 트리, 그래프 및 해시를 포함한 기본 메모리 및 보조 스토리지 구조가 포함됩니다. 알고리즘에는 트리 및 그래프를 삽입, 삭제 및 검색하고 정렬하는 작업이 포함됩니다.","이 과정에서는 기본 데이터 구조와 데이터 구조에 대한 알고리즘에 대해 설명합니다. 데이터 구조에는 트리, 그래프 및 해시를 포함한 기본 메모리 및 보조 스토리지 구조가 포함됩니다. 알고리즘에는 트리 및 그래프를 삽입, 삭제 및 검색하고 정렬하는 작업이 포함됩니다.","구조, 8/데이터, 6/포함, 6/알고리즘, 4/트리, 4/그래프, 4/과정, 2/기본, 2/설명, 2/해시, 2/기본 메모리, 2/보조, 2/스토리, 2/삽입, 2/삭제, 2/검색, 2/정렬, 2/작업, 2/"
58,6440003,자료구조및실습,김원,95.2,AI·소프트웨어학부,전공,,"이 과정에서는 데이터 저장, 검색, 삽입 및 삭제를 위한 다양한 기술과 알고리즘에 대해 중점적으로 설명합니다. 이 기술은 메모리 내 데이터 구조와 외부 데이터 구조 모두를 대상으로 합니다.",데이터 구조와 알고리즘은 컴퓨터 과학의 기초입니다. 이 과정의 목적은 학생들에게 데이터 구조에서 작동하는 다양한 데이터 구조와 알고리즘을 소개하는 것입니다.,"데이터, 6/구조, 5/알고리즘, 3/과정, 2/기술, 2/"
59,6440004,자료구조및실습,최재영,91.8,AI·소프트웨어학부(인공지능전공),전공,,"이 과정에서는 데이터 저장, 검색, 삽입 및 삭제를 위한 다양한 기술과 알고리즘에 대해 중점적으로 설명합니다. 이 기술은 메모리 내 데이터 구조와 외부 데이터 구조 모두를 대상으로 합니다.",데이터 구조와 알고리즘은 컴퓨터 과학의 기초입니다. 이 과정의 목적은 학생들에게 데이터 구조에서 작동하는 다양한 데이터 구조와 알고리즘을 소개하는 것입니다.,"데이터, 6/구조, 5/알고리즘, 3/과정, 2/기술, 2/"
60,10178001,모바일프로그래밍,조정찬,95.9,AI·소프트웨어학부(소프트웨어전공),전공,,모바일 프로그래밍을 소개합니다.,Android 플랫폼용 모바일 애플리케이션(앱)을 만들고 개발하기 위한 기술을 배운다. Android App Store(Google Play)에 배치할 앱을 만든다.,"모바일, 2/"
61,10178003,모바일프로그래밍,정윤현,97.6,AI·소프트웨어학부(인공지능전공),전공,,모바일 프로그래밍을 소개합니다.,Android 플랫폼용 모바일 애플리케이션(앱)을 만들고 개발하기 위한 기술을 배운다. Android App Store(Google Play)에 배치할 앱을 만든다.,"모바일, 2/"
62,10375001,경영학원론,김학진,89.3,AI·소프트웨어학부,전공,,"경영의 원리 및 제이론들의 핵심 내용과 경영관리 활동의 실천방안에 대한 원칙적 수준을 제시하고 글로벌화와 IT기술의 급변에 따른 패러다임 변화에 지속 가능한 기업 경영을 하도록 하는 안목을 학습하고 특수성과 보편성을 동시에 추구하는 바, 수강생들의 편향적이 아닌 균형된 사고력을 갖고 수업에 참여한다.","현대사회는 새로운 경영패러다임의 변화로 급변하는 환경에 적응하며 어떻게 생존할 것인가 하는 문제에 직면하고 있다. 이에 본 강의는 다음과 같은 목표를 두고자 한다. - 경영학의 기본원리 이해 - 경영 이슈에 대한 문제해결과 의사결정 능력의 배양 - 경영활동의 주요요소 중 하나인 사람, 일, 조직, 리더십 등에 대해 생각해 보는 기회 제공 - 개개인의 자기경영'","경영, 7/원리, 2/활동, 2/급변, 2/패러다임, 2/변화, 2/문제, 2/"
63,11581005,C++,최창,91.5,컴퓨터공학과,전공,,"이 과정은 학생들에게 C ++ 언어의 역사를 소개하고 C ++ 프로그램의 기본 구조뿐만 아니라 C ++로 작성할 수있는 프로그램 유형에 대해 설명합니다. 또한 간단한 변수 선언, 데이터 유형, 대 입문으로 시작하여 산술 표현식으로 발전하는 간단한 프로그래밍 요소가 소개됩니다.'",이 과정은 C ++ 언어의 기본 개념을 다루고 자세한 C ++ API를 설명합니다.,"과정, 2/언어, 2/소개, 2/프로그램, 2/기본, 2/유형, 2/설명, 2/"
64,11581003,C++,황성운,77.9,컴퓨터공학과,전공,,C언어는 순차적으로 호출되는 함수들에 의해 수행되는 매우 강력한 프로그래밍 언어이다. 반면에 C++는 여기에 객체라는 개념을 추가함으로써 우리가 살고 있는 세상과 개념적으로 유사하게 생각함으로써 효율성있게 프로그래밍할 수 있게 되었다.',"C++ 프로그래밍의 기본 개념인 클래스, 객체, 생성자, 프렌드, 상속, 템플릿 등의 기본 개념을 정확히 이해하고 활용하는 것을 목표로 한다.'","개념, 4/C++, 2/객체, 2/프로그래밍, 2/기본, 2/"
65,11581001,C++,김석수,72.0,컴퓨터공학과,전공,,"C++ 언어의 확장된 문법과 객체 지향의 기본 개념 및 철학을 학습하고 실무에 객체 지향을 응용하는 방법을 배운다. 실무 예제를 통해 절차적 기법과의 차이점을 연구하고 객체 지향의 필요성과 효율성을 학습한다. 복잡하고 어려운 객체 지향 이론을 학습 순서에 맞게 예제와 함께 구현해 봄으로써 프로그래밍 능력을 키운다. 각 장의 셀프 테스트와 연습문제를 통해 배운 내용을 확인 및 복습하여 객체 지향을 완벽하게 마스터할 수 있다. 프로그래밍 초보자를 대상으로 쓴 C++ 입문서로, C/C++은 물론 다른 언어에 대한 경험이 전혀 없더라도 C++ 문법을 학습하고 실습하여 프로그램 작성 능력을 배운다.'","기본 예제와 실습 프로젝트로 객체 지향을 마스터한다. 다양한 기본 예제를 통해 객체 지향에 대한 기본 이론을 익힐 수 있다. 또한, 실습 프로젝트를 통해 모든 객체 지향 이론을 배울 수 있다. 객체 지향은 부피는 작으나 개념이 복잡하여 이론만으로 익히기 어려우므로 실습을 통하여 프로그램 작성 능력을 키운다.'","객체, 9/지향, 9/C++, 4/기본, 4/학습, 4/예제, 4/이론, 4/실습, 4/능력, 3/언어, 2/문법, 2/개념, 2/실무, 2/프로그래밍, 2/마스터, 2/프로그램, 2/작성, 2/프로젝트, 2/"
66,13683001,SW기초기술,김우성,80.8,컴퓨터공학과,전공,,'컴퓨터 기초 이론을 학습하여 실무 프로그래밍 적요을 위한 프로젝트 활동을 수행함','컴퓨터 전공 기초 과목을 재 학습하고 프로젝트 수업을 통해 이를 적용하고 확인하여 학생들의 전공 기초 능력을 배양하',"기초, 3/컴퓨터, 2/학습, 2/프로젝트, 2/전공, 2/"
67,13189001,네트워크프로그래밍,김우성,82.8,컴퓨터공학과,전공,,'블록체인 개념에 대해 이해하고 블록체인에 기반한 응용 프로그램을 작성 한다.',"블록체인 시스템과 알고리즘에 대해 이해하고 블록체인 시스템을 구축, 응용 프로그램을 개발할 수 있도록 한다.'","블록체인, 4/이해, 2/응용, 2/프로그램, 2/시스템, 2/"
68,13782001,데이터마이닝,홍성삼,91.2,컴퓨터공학과,전공,,x,x,
69,13689001,데이터분석처리,이영호,94.2,컴퓨터공학과,전공,,x,x,
70,13143001,디스플레이 제조 공정,장영진,99.2,컴퓨터공학과,전공,,x,x,
71,11978001,디지털콘텐츠기획,황희정,93.4,컴퓨터공학과,전공,,x,x,
72,11978002,디지털콘텐츠기획,오석희,91.4,컴퓨터공학과,전공,,x,x,
73,10888003,리눅스,이병문,97.0,컴퓨터공학과,전공,,"리눅스는 오픈소스의 최강자 운영체체제로써 중소/중견/대기업의 서버플랫폼으로 활용되고 있습니다. 뿐만아니라, 안드로이드 스마트폰의 운영체제이면서 아이폰의 운영체제 모두가 그 내부는 리눅스 기반입니다. 최근에 사물인터넷기기의 대부분이 리눅스 운영체제를 그 기반으로 동작하고 있어 본 강의에서는 매우 중요한 기술과 지식이 제공됩니다. 이 과목에서는 컴퓨터공학도가 반드시 알아야할 리눅스 운영체제의 활용법을 배우고 익힙니다.'","""본 강의의 목표는 리눅스 운영체제를 자유롭게 사용할 뿐만아니라, 리눅스서버를 자유롭게 운영할줄 알도록 하는 것입니다. 따라서 본 강의는 90%이상 실습에 비중을 두어 진행하며, 실무능력을 키우는 현장감있는 강좌입니다. * 본 강의의 목표는 '진도를 나가는 것' 보다 '완벽히 아는 것'에 있습니다. * 목표를 이루려면 교수의 강의열정과 학생의 공부열정이 매우 중요합니다.!! ^^; * 열정이 있는 학생이라면, 누구든지 환영합니다. ^^;""","운영, 7/리눅스, 6/체제, 6/강의, 5/목표, 3/열정, 3/서버, 2/기반, 2/자유, 2/것, 2/학생, 2/"
74,10888006,리눅스,Abdusalomov Akmalbek,96.6,컴퓨터공학과,전공,,x,x,
75,10888001,리눅스,박양재,86.5,컴퓨터공학과,전공,,"본 강의는 이론 강의 2시간, 실습 2시간으로 이론 강의 후 한 단계씩 실습을 통하여 리눅스 관련 응용 분야에 적용이 가능한 지식을 습득하는데 있습니다.'","리눅스는 소스 코드를 완전 무료로 공개하여 전 세계적으로 약 5백만 명이 넘는 프로그램 개발자 그룹을 형성하고 있다.이들에 의해 단일 운영체제의 독점이 아닌 다수를 위한 공개라는 원칙 하에 계속적인 업그레이드가 이루어지고 있는 운영체제로 파일의 구성이나 시스템 기능의 일부는 유닉스를 기반으로 하면서 핵심 커널 부분은 유닉스와 다르게 작성되었습니다. 인터넷 프로토콜인 TCP/IP를 강력하게 지원하는 네트워킹에 강점을 지니고 있으며, 유닉스와 거의 유사한 환경을 제공하면서 프로그램의 소스 코드가 공개되어 있습니다. 인터넷을 통하여 무료로 제공되는 장점이 있다. 이와 같은 장점으로 프로그램 개발자 및 서버 관리자, 보안 관리자, 네트워크 관리자, 임베디드 시스템 개발자 등이 필수적으로 이해해야 하는 과목입니다. 본 강의는 우분투(Ubuntu) 리눅스을 기반으로 리눅스 소개, 리눅스 실습 환경 구축, 리눅스 설치, 필수 개념과 명령어1, 리눅스 명령어 2, X윈도 사용하기, 셀 스크립트 프로그래밍, 소프트웨어 관리, 프로세스 관리, 네트워크와 텔넷 서버 구축, FTP 서버 구축, APM(Apache Web serever PHP web program, Mysql server) 구축으로 실무에 적합하도록 실습을 통하여 한 단계씩 리눅스 관련 지식을 마스터하는데 목적이 있습니다.'","리눅스, 8/실습, 4/구축, 4/공개, 3/프로그램, 3/개발자, 3/유닉스, 3/강의, 2/론 강, 2/시간, 2/단계, 2/관련, 2/지식, 2/소스 코드, 2/무료, 2/운영, 2/체제, 2/기반, 2/환경, 2/제공, 2/장점, 2/필수, 2/명령어, 2/서버, 2/"
76,10888007,리눅스,유현,89.0,컴퓨터공학과,전공,,x,x,
77,10888005,리눅스,김석수,68.2,컴퓨터공학과,전공,,x,x,
78,9038001,모바일프로그래밍,황희정,99.1,컴퓨터공학과,전공,,"본 과목은 대표적인 모바일 프로그래밍 환경인 구글의 안드로이드 플랫폼을 이해하고 자바/코틀린 기반의 안드로이드 앱 개발을 배우기 위한 과목이다. 안드로이드는 단순히 스마트폰 운영체제가 아니라 웨어러블, 인공지능, 차량용 인포테인먼트 시스템, 임베디드 시스템에 적용되는 중요 기술로 컴퓨터공학과 전공생들은 반드시 알아야 하는 핵심 분야 이다.'","본 강의에서는 모바일프로그램 개발을 위해 필요한 전반적인 배경 지식에서 부터 안드로이드 앱 개발을 위해 필요한 자바/코틀린등 프로그램언어와 안드로이드 컴포넌트, 이벤트, 라이프사이클, 앱연동, 데이터베이스 등 다양한 구성요소 활용법을 배운다. - 안드로이드 플랫폼 이해 - 안드로이드 스튜디오를 이용한 앱 개발 - UI 설계 - 데이터베이스, 네트워크 연동'","안드로이드, 6/개발, 4/과목, 2/모바일, 2/플랫폼, 2/이해, 2/자바, 2/코틀린, 2/프로그램, 2/필요, 2/데이터베이스, 2/"
79,9038003,모바일프로그래밍,임정준,87.5,컴퓨터공학과,전공,,'정보통신 기술의 발전으로 인하여 사용자가 쉽게 스마트 폰을 이용하여 정보를 제공 받을수 있도록 프로그램 기술을 학습하고자 한다.','안드로이드 프로그램 실습을 통하여 프로그램 기초사항과 이벤트 처리 애플리케이스 배포까지 학습하고자 한다.',"프로그램, 3/기술, 2/학습, 2/"
80,9038005,모바일프로그래밍,강운구,91.9,컴퓨터공학과,전공,,"구글은 이제 안드로이드 애플리케이션을 개발할 때 자바(Java)가 아닌 코틀린(Kotlin)언어 사용을 권장하고 있습니다. 구글은 코틀린 언어를 안드로이드 애플리케이션 개발 공식 언어로 선언하였으며, 개발지원 사이트에도 모든 예제를 코틀린 언어로 제공되고 있습니다. 이제 안드로이드 애플리케이션을 개발하기 위해서는 자바가 아닌 코틀린을 사용해야 하는 시대가 되었습니다. 실제로 현재 Play 스토어의 1,000개의 상위 앱 중 60% 이상이 코틀린 언어를 사용하고 있는바, 코틀린 언어를 통한 안드로이드 애플리케이션 개발은 앞으로 모바일 개발에 대세가 될것이며 구글도 안드로이드 개발에 대한 사후 지원은 코틀린 중심으로 이루어 질 것으로 전망되고 있습니다. 따라서 본 강좌에서는 안드로이드 기반의 모바일 앱 개발 방법을 코틀린 언어를 사용한 다양한 실무 프로젝트를 통해 학습하여, 여러분의 모바일 프로그래밍 개발 능력을 향상시킬 것입니다.'",1.모바일 애플리케이션 개발을 위한 기본 환경 및 모바일 플랫폼에 대해 이해할 수 있다. 2.안드로이드 개발의 공식 언어인 코틀린 언어를 사용하여 모바일 애플리케이션을 개발할 수 있다. 3.모바일 애플리케이션에서 활용 가능한 다양한 화면 구성(UI)과 리소스 활용 방법을 이해할 수 있다. 4.다양한 실무 프로젝트를 통해 모바일 프로그램의 실전 개발 능력을 함양한다.',"개발, 13/코틀린, 9/언어, 9/모바일, 8/안드로이드, 7/애플리케이션, 7/사용, 5/구글, 3/자바, 2/공식, 2/지원, 2/방법, 2/실무, 2/프로젝트, 2/능력, 2/이해, 2/활용, 2/"
81,12044007,소프트웨어공학,Abdusalomov Akmalbek,99.4,컴퓨터공학과,전공,,x,x,
82,12044006,소프트웨어공학,장기수,96.6,컴퓨터공학과,전공,,x,x,
83,12044002,소프트웨어공학,오상엽,94.0,컴퓨터공학과,전공,,"소프트웨어 공학에 대한 개발 방법론, 분석, 설계, 구현, 테스트 방법론에 대한 이론과 실제 소프트웨어 라이프 사이클에 대한 전반적인 내용을 학습한다.'",소프퉤어 공학에 대한 전반적인 주요 이론과 개발 방법론에 대해 학습한다.',"방법론, 3/개발, 2/이론, 2/전반, 2/학습, 2/"
84,12044003,소프트웨어공학,이복기,84.5,컴퓨터공학과,전공,,"소프트웨어를 공학적으로 접근하는 체계적 학습을 위하여 1.소프트웨어의 공학적 접근에 따른 모형화 2.소프트웨어 개발 프로세스 모델 및 구체적 방법론 3.소프트웨어 시스템 개발 계획, 요구분석, 상위 설계, 하위 설계 4.시스템 구현, 정적 검사, 동적 검사, 품질 관리, 프로젝트 관리 등에대하여기초적이며일반적지식을학습한다..'","- 공산품과 다른 소프트웨어에 대하여 체계화, 제품화, 대량화가 가능케 하기 위하여 공학적으로 접근하는 방법을 학습한다. - 졸업 후 소프트웨어 산업에 종사할 학생들에게 시스템 분석 설계를 포함한 소프트웨어 개발 방법 전반에 걸쳐 학습하고, 이를 기반으로 실무에서 작성되는 제안서 수준의 소프트웨어 개발 계획서를 작성한다..'","소프트웨어, 4/학습, 4/공학, 3/접근, 3/설계, 3/체계, 2/시스템, 2/검사, 2/방법, 2/소프트웨어 개발, 2/작성, 2/"
85,12044005,소프트웨어공학,이상순,81.2,컴퓨터공학과,전공,,"선수과목으로 시스템 분석 및 설계를 이수한 학생들이 수강함을 원칙으로 하며, 소프트웨어를 공학적으로 접근하는 체계적 학습을 위하여 1.소프트웨어의 공학적 접근에 따른 모형화 2.소프트웨어 개발 프로세스 모델 및 구체적 방법론 3.소프트웨어 시스템 개발 계획, 요구분석, 상위 설계, 하위 설계 4.시스템 구현, 정적 검사, 동적 검사, 품질 관리, 프로젝트 관리 등에대하여기초적이며일반적지식을학습한다.'","- 공산품과 다른 소프트웨어에 대하여 체계화, 제품화, 대량화가 가능케 하기 위하여 공학적으로 접근하는 방법을 학습한다. - 졸업 후 소프트웨어 산업에 종사할 학생들에게 시스템 분석 설계를 포함한 소프트웨어 개발 방법 전반에 걸쳐 학습하고, 이를 기반으로 실무에서 작성되는 제안서 수준의 소프트웨어 개발 계획서를 작성한다.'","설계, 4/소프트웨어, 4/학습, 4/공학, 3/접근, 3/시스템 분석, 2/학생, 2/체계, 2/시스템, 2/검사, 2/방법, 2/소프트웨어 개발, 2/작성, 2/"
86,12044001,소프트웨어공학,황성운,80.0,컴퓨터공학과,전공,,"소프트웨어 생명 주기와 각 단계들의 활동 및 세부적인 과업 등을 이해한다. 구체적으로 소프트웨어공학의 개요,소프트웨어 개발방법론, 프로젝트 관리와 계획, 요구사항 분석, 소프트웨어 설계, 프로그래밍 및 테스트, 품질 관리, 소프트웨어 검증 및 확인 등을 세부적으로 배운다.'","본 강좌에서는 소프트웨어를 개발하기 위한 제반 방법 및 도구, 기법을 공부한다. 소프트웨어 개발은 단순한 프로그래밍 과정만이 아니라 사용자의 요구를 분석하는 과정, 설계하는 과정, 구현, 테스트, 유지 보수하는 과정을 포함한다. 또한 이러한 일련의 과정들을 어떻게 관리할 것인지를 공부한다.'","과정, 5/소프트웨어, 3/세부, 2/소프트웨어 개발, 2/프로그래밍, 2/테스트, 2/관리, 2/공부, 2/"
87,13251001,스마트기기시스템,이병문,96.4,컴퓨터공학과,전공,,x,x,
88,8095001,알고리즘,윤유림,97.0,컴퓨터공학과,전공,,x,x,
89,8095004,알고리즘,황재천,93.0,컴퓨터공학과,전공,,컴퓨터공학의 분야의 핵심 분야인 알고리즘의 분석/설계의 효율성을 극대화하기 위하여 알고리즘을 각 유형별로 이해하고 각 유형별 알고리즘의고전적인 예를 중심으로 이해하고 창의적이고 효율적인 알고리즘을 유도할 수 있도록 연습한다.',- 주어진 문제에 대한 이해와 분석 능력 배양 - 효율적인 알고리즘 작성 연습 - 컴퓨터 관련분야의 연구/개발자로서 알고리즘의 설계/분석 능력을 배양',"알고리즘, 6/분야, 3/분석, 3/효율, 3/이해, 3/설계, 2/유형, 2/연습, 2/능력, 2/배양, 2/"
90,8095003,알고리즘,김우성,84.0,컴퓨터공학과,전공,,'알고리즘이 무엇인지 이해하고 기존에 알려진 알고리즘들에 대해 학습한다',"'문제 해결을 위해 학습한 알고리즘을 적용하고, 새로운 문제에 대한 본인의 알고리즘을 개발한다'","알고리즘, 4/학습, 2/"
91,12494001,영상처리,최창,76.2,컴퓨터공학과,전공,,x,x,
92,9079001,웹프로그래밍,황희정,94.8,컴퓨터공학과,전공,,"웹 프로그래밍은 최신 프로그래밍 아키텍처의 핵심으로 클라이언트와 서버 프로그램 요소를 모두 포함하는전공 핵심 과목 입니다. 특히 최근에는 스마트폰을 비롯한 모바일 프로그래밍의 급속한 성장과 함께 많은 프로그램들이 웹을 기반으로 개발되고 있으며 적용 분야 또한 확대 되고 있습니다. 본 강의에서는 웹프로그래밍의 기본적인 이론과 기술적 배경과 함께 HTML,JavaScript,CSS 등 front-end 즉 클라이이언트 프로그래밍 기술을 중점적으로 배우게 됩니다.","본 과목은 웹 프로그래밍에 대한 전공 기초 과목으로 다른 프로그램 언어에 대한 선수 지식이 없는 학생들을 대상으로 웹의 기술 개요과 구성요소를 이해하고 '향후 고급 웹 프로그래밍 학습을 위한 기초 역량 강화를 목표로 합니다. 본 강의는 -웹프로그래밍 기술 요소 및 기본 동작 원리 이해 -웹 클라이언트 기술인 HTML,Javascript,css등에 대한 기본적인 활용 -bootstrap 등 다양한 front-end 기술 활용 -모바일 및 하이브리드 앱 개발을 위한 프로그래밍 역량 확보 을 세부 목표로 합니다.'","프로그래밍, 9/기술, 6/프로그램, 3/요소, 3/과목, 3/기본, 3/핵심, 2/클라이언트, 2/전공, 2/모바일, 2/개발, 2/강의, 2/기초, 2/이해, 2/역량, 2/목표, 2/활용, 2/"
93,9079007,웹프로그래밍,왕보현,94.3,컴퓨터공학과,전공,,본 강의는 웹의 개념을 이해하고 웹에서 사용하는 프로그램 지식을 습득하여 기본적인 웹 프로그램이 가능하도록 실습 위주의 수업을 진행한다. 프론트엔드 단의 HTML과 Javascript 기술을 습득한다. 최근 웹프로그램의 활용 분야에 대한 강의를 진행한다.',"1. 기본적인 HTML과 CSS, JavaScipt, JQuery 기술을 습득하여 동적 웹프로그램을 작성하는 것이 가능 2. 웹의 기본 프레임웍에 대한 내용의 강의를 통해 웹 관련 기반 지식을 습득하여 프론트 엔드 웹 프로그램, 백 엔드 웹 프로그램을 진행할 시 웹 기본 개념의 이해를 목표로 한다. 3. 웹 화면이 주어지면 웹프로그램을 작성 할 수 있는 능력을 목표로 한다.'","프로그램, 7/습득, 4/기본, 4/강의, 3/진행, 3/엔드, 3/개념, 2/이해, 2/지식, 2/프론트, 2/기술, 2/작성, 2/웹, 2/목표, 2/"
